Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TMA Slide 1 | 007 | Segment 1	0	0.26259199591395	0.0358241525262507	0.298692730728276	0	0.0143965364085112	0.169865359567151	0.03627268046931	0.1652439604951	0	0	0.133958772223024	0.0360431561977221	0.00222481130734319	0.020898419853716	0.165471833893301	0	0.0133380579112491	0.0817734838194716	0	0	0.055116871355549	0	0.60875822858015	0.805390433890226	1.49171282266992
TMA Slide 1 | 007 | Segment 2	0	0.505053664565315	0.112760321893513	0.262401170888516	0	0	0.193932869642211	0.109863532480586	0.299189560825795	0	0	0.166225112771588	0.0395626318938408	0.0181086099209443	0.0260935327707872	0.272024222265156	0	0	0.0789843735345711	0	0	0.0440558661449333	0	0.498951011943141	0.86612766185675	2.12825546959776
TMA Slide 1 | 008 | Segment 1	0	0.34033778557476	0	0.142942884488468	0	0.00240940582593677	0.160520698130779	0.00180559841401118	0.15099149334644	0	0	0.231614089625184	0.078133723444917	0.0334929572981744	0.017759675054944	0.121211073316459	0.00670325350504386	0.0126628890421056	0.108727147671096	0	0	0.0174593678155859	0	0.792813373532111	0.690187783694905	1.4267720425539
TMA Slide 1 | 008 | Segment 2	0	0.309308409354712	0	0.121554595043983	0	0.069053306686059	0.313629455038587	0.0496183689629015	0.0696072956772445	0	0	0.14694108242572	0.0606495066624163	0.100681273310421	0.0306729138346198	0.186424093012366	0.0277287823771601	0.0307939043873238	0.0860141604016572	0	0	0.0605738788599518	0	0.831754502396368	0.698954191492589	1.66325102603512
TMA Slide 1 | 009 | Segment 1	0	0.29651995960228	0	0.0637639193591612	0	0.0915698091249344	0.244722138134612	0	0.0757372509984665	0	0	0.206153361442445	0.0914007780145788	0.0208910440019182	0.0031991320023543	0.110927991108031	0	0	0.0492039185417019	0	0.00379812323951165	0.0236996465315006	0	0.750657920956093	0.71865597708477	1.2815870721015
TMA Slide 1 | 009 | Segment 2	0.0197827565757029	0.243041091467746	0.0491085917574626	0.228359546999408	0	0.0601105052764266	0.301242678456442	0.0315698386669916	0.0981710806031886	0	0.0440409671851672	0.145430023274925	0.0567937924877651	0.00663356866882114	0.0212120583456067	0.232936528403451	0.0262448501511643	0.0104901434446486	0.0563248245987141	0.00302622191042835	0.00460773702503592	0.0296060652298806	0	0.597301534884068	0.817232699376939	1.66873287052898
TMA Slide 1 | 010 | Segment 1	0	0.236928545323796	0	0.0891288894062216	0	0.0937715613688333	0.13124232442491	0.0241802361778806	0.0317377140962231	0	0.019835406663622	0.0492211851113706	0.118485503675713	0.0461023518448906	0.00351007232167893	0.0345594581303068	0.00458477173932762	9.92902673784898e-05	0.0315589397048717	0.00821669703504097	0.0120925498540487	0	0	0.647424043717568	0.788462907850585	0.935255497146114
TMA Slide 1 | 010 | Segment 2	0	0.417991487976745	0.039891917922915	0.123081377066417	0	0.0255171655134342	0.225411721007432	0.00312300313335282	0.0951708842863386	0.0155849290411385	0	0.0549177829859464	0.0638967058861825	0	0.000555550335820316	0.217033323777316	0.00566587504949334	0.00481609498962758	0.0902314902127776	0.0256311836517274	0	0.0456710887606738	0	0.612184960762397	0.809751753803359	1.45419158159734
TMA Slide 1 | 011 | Segment 1	0	0.215132163138898	0	0.106348280202547	0.0210007833582744	0.0490406429029144	0.112033211697093	0	0.0686740805077509	0.0128979992547773	0	0.189609516423532	0.0439766792209908	0	0	0.200516785678073	0	0.0237366373223729	0.0615921952800784	0.00312108145740193	0	0.0191181966764235	0	0.732952445046271	0.733398888474611	1.12679825312113
TMA Slide 1 | 011 | Segment 2	0	0.31922161935696	0.104421807059945	0.0683962797953254	0	0.152577229730632	0.109784409465608	0	0.187982557700218	0.00109482730759724	0	0.119048185550191	0.0614516435914811	0.00208434361147341	0.00434315123237632	0.148361156674097	0	0.0371585839967137	0.127455335251547	0	0	0.0496646864830049	0	0.568567163619365	0.831636380474542	1.49304581680717
